Rank,Symbol,Company Name,Sector,Overall Score,Investment Rating,Explanation,Market Cap ($),P/E Ratio,Gross Margin (%),ROE (%),Sales Growth (%),Key Strengths,Key Concerns,Analysis Date
1,AOS,AOS Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.907940
2,ABNB,ABNB Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.909951
3,MO,MO Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.911693
4,AME,AME Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.914021
5,ACGL,ACGL Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.915738
6,ABT,ABT Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.908126
7,AKAM,AKAM Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.910124
8,AMZN,AMZN Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.911863
9,AMGN,AMGN Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.914202
10,ADM,ADM Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.915910
11,AMD,AMD Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.908972
12,ALLE,ALLE Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.910823
13,AXP,AXP Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.912918
14,APA,APA Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.914889
